# Illucrum Website SEO Audit

The Illucrum Website SEO Audit is a fixed-price, point-by-point review of a business website against 54 points in 9 sections: technical health, on-page SEO, keywords, backlinks, competitors, trust signals, local presence, user experience and AI search visibility. It is built for service businesses, consultancies, agencies and B2B firms: businesses that sell expertise, where being found is only half the job and convincing a cautious visitor is the other half.

You receive a written report with every point scored and a prioritized list of fixes. The price is fixed, published and the same for everyone. The report is the end of the transaction: no retainer, no subscription, and nothing sold afterward.

| | |
|---|---|
| **Audit** | Illucrum Website SEO Audit |
| **Built for** | Service businesses, consultancies, agencies, B2B and any other site that isn't a SaaS product, an online store or a mainly local business |
| **The question it answers** | Can this site be found, trusted and chosen in search? |
| **Points checked** | 54, in 9 sections (51 if the business has no location or service area) |
| **You receive** | A written report: every point scored, with a prioritized fix list |
| **Price and delivery time** | Published on illucrum.com. One fixed price, the same for everyone |
| **Carried out by** | Szymon Kokot, Illucrum |

## Who this audit is for

- Consultancies, agencies and professional service firms
- B2B companies that win work through their website
- Practices and independent professionals who sell expertise
- Any business site that isn't a software product, an online store or a mainly local business

**A different audit may fit better if:**

- Your site sells software with a trial, demo or signup: the SaaS SEO Audit (54 points)
- Your site is an online store: the E-commerce SEO Audit (54 points)
- Most of your customers find you through local searches and maps: the Local Business SEO Audit (54 points)
- You only need the technical layer checked: the Technical SEO Audit (36 points)
- Your main concern is visibility in AI assistants: the GEO Audit (51 points)

## What the audit covers

The Website SEO Audit checks 54 points in 9 sections. Each point is scored on its own.

| # | Section | Points |
2. **You receive an invoice** at the published price, if you decide to go ahead.
3. **The audit is carried out,** using the access listed above.
4. **You pay the invoice and receive the report.** That is the end of the transaction.

## Frequently asked questions

### Which businesses is the Illucrum Website SEO Audit for?

Service businesses, consultancies, agencies, B2B firms and professionals who sell expertise. If your site sells software, is an online store, or wins most of its customers through local searches and maps, the SaaS, E-commerce or Local Business audit fits better.

### My business has an office. Do I need the Local Business SEO Audit instead?

Only if most of your customers find you through local searches and Google Maps, as trades, clinics, salons, restaurants and shops do. If you have an office but win work well beyond your area, the Website SEO Audit fits, and its light local section checks the basics.

### Does the Website SEO Audit cover AI search?

Yes. Section 9 has six points on AI search visibility: Google's AI Overviews, AI assistants such as ChatGPT and Perplexity, and whether the site can be reached and cited by them. The GEO Audit covers the same subject in depth, in 51 points.

### Does Illucrum fix the issues the Website SEO Audit finds?

No. The audit is the deliverable. The report is written so you can act on it yourself, hand it to your developer, or hire anyone you like.

### Is the price the same for everyone?

Yes. Each Illucrum audit has one fixed price, published on illucrum.com. There are no tiers and no custom quotes.

### When do I pay?

You receive an invoice when you decide to go ahead. The audit is carried out, and the report is sent once the invoice is paid.

### What happens after I receive the report?

Nothing else. There is no follow-up sale, subscription or retainer. The report is yours to use as you see fit.

### Is the report automated?

No. Every point is checked and written up by Szymon Kokot, and every finding refers to your site specifically.

### Can the Website SEO Audit guarantee better rankings?

No. Rankings depend on Google and on your competitors, and no one can guarantee them. The audit shows what is holding the site back and which fixes to make first; results depend on what is done with it.

## Other Illucrum audits

| Audit | Built for | Points |
|---|---|---|
| **Website SEO Audit (this audit)** | Service businesses, consultancies, agencies, B2B and any other site that isn't a SaaS product, an online store or a mainly local business | 54 |
| SaaS SEO Audit | B2B and B2C software with a trial, demo or freemium model | 54 |
| E-commerce SEO Audit | Online stores on any platform (Shopify, WooCommerce, Magento, BigCommerce, custom) | 54 |
| Local Business SEO Audit | Businesses that serve customers in a defined area, from a storefront or at the customer's location | 54 |
| Technical SEO Audit | Any site. The technical layer only: no keyword, content, competitor or conversion work | 36 |
| GEO Audit | Any site that wants to be found, cited and described accurately in AI answers (ChatGPT, Perplexity, Gemini, Claude, Copilot, Google AI Overviews and AI Mode) | 51 |

Every Illucrum audit follows the same model: a published price, a written report, and nothing sold afterward.

## About Illucrum

Illucrum is an independent SEO audit service for small and medium-sized businesses, run by Szymon Kokot. It does one thing: fixed-price SEO audits, with prices published on the website and the same for every client. Each audit is carried out and written by Szymon personally.

- **Website:** [illucrum.com](https://illucrum.com)
- **Email:** [szymon.kokot@illucrum.com](mailto:szymon.kokot@illucrum.com)

---

*Illucrum · Website SEO Audit · Last updated September 2026*
